Nom,Age,Position_Encoded,Valeur_Marchande,Matchs_22_23,Buts_22_23,Minutes_22_23,Prix
Jude Bellingham,22,3.0,120000000.0,42,14,3557,127000000.0
Declan Rice,27,3.0,90000000.0,50,5,4148,116600000.0
Moisés Caicedo,24,3.0,75000000.0,43,1,3666,116000000.0
Harry Kane,32,4.0,90000000.0,49,32,4303,95000000.0
Randal Kolo Muani,27,4.0,80000000.0,46,23,3634,95000000.0
Josko Gvardiol,24,2.0,75000000.0,41,3,3005,90000000.0
Neymar,34,3.0,60000000.0,29,18,2362,90000000.0
Christopher Nkunku,28,4.0,80000000.0,36,23,2733,60000000.0
Rasmus Højlund,23,4.0,45000000.0,42,16,2553,77800000.0
Kai Havertz,26,4.0,55000000.0,47,9,3256,75000000.0
Dominik Szoboszlai,25,3.0,50000000.0,46,10,3710,70000000.0
Gonçalo Ramos,24,4.0,50000000.0,47,27,3480,65000000.0
Alexis Mac Allister,27,3.0,65000000.0,40,12,3309,42000000.0
Roméo Lavia,22,3.0,32000000.0,35,1,2537,62100000.0
Matheus Nunes,27,2.0,45000000.0,41,2,2939,62000000.0
Sandro Tonali,25,3.0,50000000.0,48,2,3985,60800000.0
Mason Mount,27,3.0,60000000.0,35,3,2199,67700000.0
Jérémy Doku,23,4.0,28000000.0,35,7,1616,60000000.0
Manuel Ugarte,24,3.0,50000000.0,47,0,3573,60000000.0
Malcom,28,4.0,30000000.0,33,26,2739,60000000.0
Otávio,30,3.0,35000000.0,44,7,3637,60000000.0
Min-jae Kim,29,2.0,60000000.0,45,2,3878,50000000.0
Ousmane Dembélé,28,4.0,60000000.0,35,8,2169,50000000.0
James Maddison,29,3.0,60000000.0,32,10,2579,46300000.0
Brennan Johnson,24,4.0,38000000.0,44,10,3303,55000000.0
Moussa Diaby,26,4.0,50000000.0,48,14,3887,55000000.0
Rúben Neves,28,3.0,40000000.0,41,6,3411,55000000.0
Aleksandar Mitrović,31,4.0,28000000.0,28,15,2230,52600000.0
Matheus Cunha,26,4.0,25000000.0,37,2,1565,50000000.0
Sergej Milinković-Savić,30,3.0,50000000.0,47,11,3717,40000000.0
Dejan Kulusevski,25,3.0,50000000.0,37,2,2417,30000000.0
Cole Palmer,23,3.0,18000000.0,25,1,850,47000000.0
Fabinho,32,3.0,42000000.0,49,0,3539,46700000.0
Lucas Hernández,29,2.0,45000000.0,11,1,833,45000000.0
Bradley Barcola,23,4.0,18000000.0,35,7,2129,45000000.0
Axel Disasi,27,2.0,30000000.0,49,6,4380,45000000.0
Marco Verratti,33,3.0,40000000.0,38,0,2985,45000000.0
Pau Torres,29,2.0,45000000.0,39,1,3349,33000000.0
Harvey Barnes,28,4.0,35000000.0,40,13,3247,44000000.0
Mohammed Kudus,25,4.0,40000000.0,42,18,2693,43000000.0
Jurriën Timber,24,2.0,42000000.0,47,2,4207,40000000.0
Ryan Gravenberch,23,3.0,30000000.0,33,1,938,40000000.0
Pedro Porro,26,2.0,40000000.0,43,6,3205,40000000.0
Micky van de Ven,24,2.0,30000000.0,36,1,3240,40000000.0
Benjamin Pavard,29,2.0,40000000.0,43,7,3376,31400000.0
Vitor Roque,20,4.0,40000000.0,45,21,3148,30000000.0
Xavi Simons,22,3.0,40000000.0,48,22,3800,4000000.0
Edson Álvarez,28,3.0,35000000.0,44,4,3699,38000000.0
James Ward-Prowse,31,3.0,38000000.0,45,11,3973,34800000.0
Mateo Kovacic,31,3.0,38000000.0,37,2,2467,29100000.0
Tino Livramento,23,2.0,25000000.0,3,0,71,37200000.0
Nicolas Jackson,24,4.0,30000000.0,38,13,2121,37000000.0
André Onana,29,1.0,35000000.0,41,0,3720,50200000.0
Loïs Openda,25,4.0,35000000.0,42,21,2801,40000000.0
Ibrahim Sangaré,28,3.0,35000000.0,45,8,3765,35000000.0
Elye Wahi,23,4.0,35000000.0,33,19,2531,30000000.0
