Nom,Age,Position_Encoded,Valeur_Marchande_Clean,Matchs_22_23,Buts_22_23,Minutes_22_23,Duree_Contrat,Prix,Ligue_Autre,Ligue_Bundesliga,Ligue_LaLiga,Ligue_Ligue 1,Ligue_Premier League,Ligue_Serie A
Jude Bellingham,22,3,120000000.0,42,14,3557,6.0,127000000.0,False,False,True,False,False,False
Declan Rice,27,3,90000000.0,50,5,4148,5.0,116600000.0,False,False,False,False,True,False
Moisés Caicedo,24,3,75000000.0,43,1,3666,8.0,116000000.0,False,False,False,False,True,False
Harry Kane,32,4,90000000.0,49,32,4303,4.0,95000000.0,False,True,False,False,False,False
Randal Kolo Muani,27,4,80000000.0,46,23,3634,3.0,95000000.0,False,False,False,False,True,False
Josko Gvardiol,24,2,75000000.0,41,3,3005,5.0,90000000.0,False,False,False,False,True,False
Neymar,34,3,60000000.0,29,18,2362,3.0,90000000.0,True,False,False,False,False,False
Christopher Nkunku,28,4,80000000.0,36,23,2733,7.0,60000000.0,False,False,False,False,False,True
Rasmus Højlund,23,4,45000000.0,42,16,2553,3.0,77800000.0,False,False,False,False,False,True
Kai Havertz,26,4,55000000.0,47,9,3256,5.0,75000000.0,False,False,False,False,True,False
Dominik Szoboszlai,25,3,50000000.0,46,10,3710,5.0,70000000.0,False,False,False,False,True,False
Gonçalo Ramos,24,4,50000000.0,47,27,3480,5.0,65000000.0,False,False,False,True,False,False
Alexis Mac Allister,27,3,65000000.0,40,12,3309,5.0,42000000.0,False,False,False,False,True,False
Roméo Lavia,22,3,32000000.0,35,1,2537,7.0,62100000.0,False,False,False,False,True,False
Matheus Nunes,27,2,45000000.0,41,2,2939,5.0,62000000.0,False,False,False,False,True,False
Sandro Tonali,25,3,50000000.0,48,2,3985,5.0,60800000.0,False,False,False,False,True,False
Mason Mount,27,3,60000000.0,35,3,2199,5.0,67700000.0,False,False,False,False,True,False
Jérémy Doku,23,4,28000000.0,35,7,1616,5.0,60000000.0,False,False,False,False,True,False
Manuel Ugarte,24,3,50000000.0,47,0,3573,6.0,60000000.0,False,False,False,False,True,False
Malcom,28,4,30000000.0,33,26,2739,4.0,60000000.0,True,False,False,False,False,False
Otávio,30,3,35000000.0,44,7,3637,4.0,60000000.0,True,False,False,False,False,False
Min-jae Kim,29,2,60000000.0,45,2,3878,5.0,50000000.0,False,True,False,False,False,False
Ousmane Dembélé,28,4,60000000.0,35,8,2169,5.0,50000000.0,False,False,False,True,False,False
James Maddison,29,3,60000000.0,32,10,2579,5.0,46300000.0,False,False,False,False,True,False
