Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Jude Bellingham,20,Angleterre,"120,00 mio. €","127,00 mio. €",https://www.transfermarkt.fr/jude-bellingham/profil/spieler/581678
Declan Rice,24,Angleterre,"90,00 mio. €","116,60 mio. €",https://www.transfermarkt.fr/declan-rice/profil/spieler/357662
Moisés Caicedo,21,Équateur,"75,00 mio. €","116,00 mio. €",https://www.transfermarkt.fr/moises-caicedo/profil/spieler/687626
Harry Kane,30,Angleterre,"90,00 mio. €","95,00 mio. €",https://www.transfermarkt.fr/harry-kane/profil/spieler/132098
Randal Kolo Muani,24,France,"80,00 mio. €","95,00 mio. €",https://www.transfermarkt.fr/randal-kolo-muani/profil/spieler/487969
Josko Gvardiol,21,Croatie,"75,00 mio. €","90,00 mio. €",https://www.transfermarkt.fr/josko-gvardiol/profil/spieler/475959
Neymar,31,Brésil,"60,00 mio. €","90,00 mio. €",https://www.transfermarkt.fr/neymar/profil/spieler/68290
Christopher Nkunku,25,France,"80,00 mio. €","60,00 mio. €",https://www.transfermarkt.fr/christopher-nkunku/profil/spieler/344381
Rasmus Højlund,20,Danemark,"45,00 mio. €","77,80 mio. €",https://www.transfermarkt.fr/rasmus-hojlund/profil/spieler/610442
Kai Havertz,24,Allemagne,"55,00 mio. €","75,00 mio. €",https://www.transfermarkt.fr/kai-havertz/profil/spieler/309400
Dominik Szoboszlai,22,Hongrie,"50,00 mio. €","70,00 mio. €",https://www.transfermarkt.fr/dominik-szoboszlai/profil/spieler/451276
Gonçalo Ramos,22,Portugal,"50,00 mio. €","65,00 mio. €",https://www.transfermarkt.fr/goncalo-ramos/profil/spieler/550550
Alexis Mac Allister,24,Argentine,"65,00 mio. €","42,00 mio. €",https://www.transfermarkt.fr/alexis-mac-allister/profil/spieler/534033
Roméo Lavia,19,Belgique,"32,00 mio. €","62,10 mio. €",https://www.transfermarkt.fr/romeo-lavia/profil/spieler/628451
Matheus Nunes,25,Portugal,"45,00 mio. €","62,00 mio. €",https://www.transfermarkt.fr/matheus-nunes/profil/spieler/601883
Sandro Tonali,23,Italie,"50,00 mio. €","60,80 mio. €",https://www.transfermarkt.fr/sandro-tonali/profil/spieler/397033
