Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil,Position,Matchs_22_23,Buts_22_23,Minutes_22_23
Jude Bellingham,22,Angleterre,"120,00 mio. €","127,00 mio. €",https://www.transfermarkt.fr/jude-bellingham/profil/spieler/581678,Milieu offensif,42,14,3557
Declan Rice,27,Angleterre,"90,00 mio. €","116,60 mio. €",https://www.transfermarkt.fr/declan-rice/profil/spieler/357662,Milieu central,50,5,4148
Moisés Caicedo,24,Équateur,"75,00 mio. €","116,00 mio. €",https://www.transfermarkt.fr/moises-caicedo/profil/spieler/687626,Milieu défensif,43,1,3666
Harry Kane,32,Angleterre,"90,00 mio. €","95,00 mio. €",https://www.transfermarkt.fr/harry-kane/profil/spieler/132098,Avant-centre,49,32,4303
Randal Kolo Muani,27,France,"80,00 mio. €","95,00 mio. €",https://www.transfermarkt.fr/randal-kolo-muani/profil/spieler/487969,Avant-centre,46,23,3634
Josko Gvardiol,24,Croatie,"75,00 mio. €","90,00 mio. €",https://www.transfermarkt.fr/josko-gvardiol/profil/spieler/475959,Défenseur central,41,3,3005
Neymar,34,Brésil,"60,00 mio. €","90,00 mio. €",https://www.transfermarkt.fr/neymar/profil/spieler/68290,Milieu offensif,29,18,2362
Christopher Nkunku,28,France,"80,00 mio. €","60,00 mio. €",https://www.transfermarkt.fr/christopher-nkunku/profil/spieler/344381,Avant-centre,36,23,2733
Rasmus Højlund,23,Danemark,"45,00 mio. €","77,80 mio. €",https://www.transfermarkt.fr/rasmus-hojlund/profil/spieler/610442,Avant-centre,42,16,2553
Kai Havertz,26,Allemagne,"55,00 mio. €","75,00 mio. €",https://www.transfermarkt.fr/kai-havertz/profil/spieler/309400,Avant-centre,47,9,3256
Dominik Szoboszlai,25,Hongrie,"50,00 mio. €","70,00 mio. €",https://www.transfermarkt.fr/dominik-szoboszlai/profil/spieler/451276,Milieu offensif,46,10,3710
Gonçalo Ramos,24,Portugal,"50,00 mio. €","65,00 mio. €",https://www.transfermarkt.fr/goncalo-ramos/profil/spieler/550550,Avant-centre,47,27,3480
