Nom,Age,Nationalite,Prix_Raw,URL_Profil,Matchs_22_23,Buts_22_23,Passes_22_23,Minutes_22_23,Position
Christopher Nkunku,,France,"60,00 mio. €",https://www.transfermarkt.fr/christopher-nkunku/profil/spieler/344381,36,23,9,2733,À récupérer
Alexis Mac Allister,,Argentine,"42,00 mio. €",https://www.transfermarkt.fr/alexis-mac-allister/profil/spieler/534033,40,12,3,3309,À récupérer
Min-jae Kim,,Corée du Sud,"50,00 mio. €",https://www.transfermarkt.fr/min-jae-kim/profil/spieler/503482,45,2,2,3878,À récupérer
Ousmane Dembélé,,France,"50,00 mio. €",https://www.transfermarkt.fr/ousmane-dembele/profil/spieler/288230,35,8,9,2169,À récupérer
James Maddison,,Angleterre,"46,30 mio. €",https://www.transfermarkt.fr/james-maddison/profil/spieler/294057,32,10,9,2579,À récupérer
Sergej Milinković-Savić,,Serbie,"40,00 mio. €",https://www.transfermarkt.fr/sergej-milinkovic-savic/profil/spieler/266302,47,11,8,3717,À récupérer
Dejan Kulusevski,,Suède,"30,00 mio. €",https://www.transfermarkt.fr/dejan-kulusevski/profil/spieler/431755,37,2,8,2417,À récupérer
Milan Škriniar,,Slovaquie,Tr. libre,https://www.transfermarkt.fr/milan-skriniar/profil/spieler/204069,31,0,1,2406,À récupérer
Pau Torres,,Espagne,"33,00 mio. €",https://www.transfermarkt.fr/pau-torres/profil/spieler/399776,39,1,0,3349,À récupérer
Jurriën Timber,,Pays-Bas,"40,00 mio. €",https://www.transfermarkt.fr/jurrien-timber/profil/spieler/420243,47,2,2,4207,À récupérer
Benjamin Pavard,,France,"31,40 mio. €",https://www.transfermarkt.fr/benjamin-pavard/profil/spieler/353366,43,7,1,3376,À récupérer
Vitor Roque,,Brésil,"30,00 mio. €",https://www.transfermarkt.fr/vitor-roque/profil/spieler/943837,45,21,8,3148,À récupérer
Romelu Lukaku,,Belgique,"Montant du prêt:5,80 mio. €",https://www.transfermarkt.fr/romelu-lukaku/profil/spieler/96341,37,14,7,1988,À récupérer
Xavi Simons,,Pays-Bas,"4,00 mio. €",https://www.transfermarkt.fr/xavi-simons/profil/spieler/566931,48,22,11,3800,À récupérer
James Ward-Prowse,,Angleterre,"34,80 mio. €",https://www.transfermarkt.fr/james-ward-prowse/profil/spieler/181579,45,11,5,3973,À récupérer
Mateo Kovacic,,Croatie,"29,10 mio. €",https://www.transfermarkt.fr/mateo-kovacic/profil/spieler/51471,37,2,2,2467,À récupérer
Elye Wahi,,France,"30,00 mio. €",https://www.transfermarkt.fr/elye-wahi/profil/spieler/659542,33,19,6,2531,À récupérer
Orkun Kökçü,,Turquie,"29,70 mio. €",https://www.transfermarkt.fr/orkun-kokcu/profil/spieler/454567,46,12,5,3959,À récupérer
Giacomo Raspadori,,Italie,"28,00 mio. €",https://www.transfermarkt.fr/giacomo-raspadori/profil/spieler/405885,35,6,5,1352,À récupérer
Lionel Messi,,Argentine,Tr. libre,https://www.transfermarkt.fr/lionel-messi/profil/spieler/28003,55,32,25,4723,À récupérer
Allan Saint-Maximin,,France,"27,20 mio. €",https://www.transfermarkt.fr/allan-saint-maximin/profil/spieler/272642,31,1,5,1376,À récupérer
