Nom,Age,Nationalite,Prix_Raw,URL_Profil,Position,Matchs_22_23,Buts_22_23,Minutes_22_23
Christopher Nkunku,28,France,"60,00 mio. €",https://www.transfermarkt.fr/christopher-nkunku/profil/spieler/344381,Avant-centre,36,23,2733
Alexis Mac Allister,27,Argentine,"42,00 mio. €",https://www.transfermarkt.fr/alexis-mac-allister/profil/spieler/534033,Milieu central,40,12,3309
Min-jae Kim,29,Corée du Sud,"50,00 mio. €",https://www.transfermarkt.fr/min-jae-kim/profil/spieler/503482,Défenseur central,45,2,3878
Ousmane Dembélé,28,France,"50,00 mio. €",https://www.transfermarkt.fr/ousmane-dembele/profil/spieler/288230,Avant-centre,35,8,2169
James Maddison,29,Angleterre,"46,30 mio. €",https://www.transfermarkt.fr/james-maddison/profil/spieler/294057,Milieu offensif,32,10,2579
Sergej Milinković-Savić,30,Serbie,"40,00 mio. €",https://www.transfermarkt.fr/sergej-milinkovic-savic/profil/spieler/266302,Milieu central,47,11,3717
Dejan Kulusevski,25,Suède,"30,00 mio. €",https://www.transfermarkt.fr/dejan-kulusevski/profil/spieler/431755,Milieu offensif,37,2,2417
Milan Škriniar,30,Slovaquie,Tr. libre,https://www.transfermarkt.fr/milan-skriniar/profil/spieler/204069,Défenseur central,31,0,2406
Pau Torres,29,Espagne,"33,00 mio. €",https://www.transfermarkt.fr/pau-torres/profil/spieler/399776,Défenseur central,39,1,3349
Jurriën Timber,24,Pays-Bas,"40,00 mio. €",https://www.transfermarkt.fr/jurrien-timber/profil/spieler/420243,Arrière droit,47,2,4207
Benjamin Pavard,29,France,"31,40 mio. €",https://www.transfermarkt.fr/benjamin-pavard/profil/spieler/353366,Défenseur central,43,7,3376
Vitor Roque,20,Brésil,"30,00 mio. €",https://www.transfermarkt.fr/vitor-roque/profil/spieler/943837,Avant-centre,45,21,3148
Romelu Lukaku,32,Belgique,"Montant du prêt:5,80 mio. €",https://www.transfermarkt.fr/romelu-lukaku/profil/spieler/96341,Avant-centre,37,14,1988
Xavi Simons,22,Pays-Bas,"4,00 mio. €",https://www.transfermarkt.fr/xavi-simons/profil/spieler/566931,Milieu offensif,48,22,3800
James Ward-Prowse,31,Angleterre,"34,80 mio. €",https://www.transfermarkt.fr/james-ward-prowse/profil/spieler/181579,Milieu central,45,11,3973
Mateo Kovacic,31,Croatie,"29,10 mio. €",https://www.transfermarkt.fr/mateo-kovacic/profil/spieler/51471,Milieu central,37,2,2467
Elye Wahi,23,France,"30,00 mio. €",https://www.transfermarkt.fr/elye-wahi/profil/spieler/659542,Avant-centre,33,19,2531
Orkun Kökçü,25,Turquie,"29,70 mio. €",https://www.transfermarkt.fr/orkun-kokcu/profil/spieler/454567,Milieu central,46,12,3959
Giacomo Raspadori,25,Italie,"28,00 mio. €",https://www.transfermarkt.fr/giacomo-raspadori/profil/spieler/405885,Deuxième attaquant,35,6,1352
Lionel Messi,38,Argentine,Tr. libre,https://www.transfermarkt.fr/lionel-messi/profil/spieler/28003,Ailier droit,55,32,4723
Allan Saint-Maximin,28,France,"27,20 mio. €",https://www.transfermarkt.fr/allan-saint-maximin/profil/spieler/272642,Ailier gauche,31,1,1376
Seko Fofana,30,Côte d'Ivoire,"25,00 mio. €",https://www.transfermarkt.fr/seko-fofana/profil/spieler/182893,Milieu central,39,9,3312
Marcus Thuram,28,France,Tr. libre,https://www.transfermarkt.fr/marcus-thuram/profil/spieler/318528,Avant-centre,32,16,2700
Roger Ibañez,27,Brésil,"28,50 mio. €",https://www.transfermarkt.fr/roger-ibanez/profil/spieler/524481,Défenseur central,48,3,4089
Arthur Vermeeren,21,Belgique,"20,00 mio. €",https://www.transfermarkt.fr/arthur-vermeeren/profil/spieler/926694,Milieu défensif,40,2,3311
Sofyan Amrabat,29,Maroc,"Montant du prêt:10,00 mio. €",https://www.transfermarkt.fr/sofyan-amrabat/profil/spieler/287579,Milieu défensif,49,0,3497
David Raya,30,Espagne,"Montant du prêt:3,50 mio. €",https://www.transfermarkt.fr/david-raya/profil/spieler/262749,Gardien de but,39,0,3510
Alex Iwobi,29,Nigeria,"25,70 mio. €",https://www.transfermarkt.fr/alex-iwobi/profil/spieler/242631,Ailier gauche,41,2,3561
Kalvin Phillips,30,Angleterre,"Montant du prêt:7,00 mio. €",https://www.transfermarkt.fr/kalvin-phillips/profil/spieler/351749,Milieu défensif,21,0,595
Armando Broja,24,Albanie,"Montant du prêt:4,70 mio. €",https://www.transfermarkt.fr/armando-broja/profil/spieler/571743,Avant-centre,18,1,466
Evan Ndicka,26,Côte d'Ivoire,Tr. libre,https://www.transfermarkt.fr/evan-ndicka/profil/spieler/371149,Défenseur central,44,2,3908
Konrad Laimer,28,Autriche,Tr. libre,https://www.transfermarkt.fr/konrad-laimer/profil/spieler/223967,Arrière droit,29,4,2185
Nicolò Zaniolo,26,Italie,"Montant du prêt:5,00 mio. €",https://www.transfermarkt.fr/nicolo-zaniolo/profil/spieler/392085,Milieu offensif,28,7,1616
Daichi Kamada,29,Japon,Tr. libre,https://www.transfermarkt.fr/daichi-kamada/profil/spieler/356141,Milieu offensif,47,16,3455
Antoine Griezmann,34,France,"22,00 mio. €",https://www.transfermarkt.fr/antoine-griezmann/profil/spieler/125781,Deuxième attaquant,48,16,3634
Marcos Leonardo,22,Brésil,"22,00 mio. €",https://www.transfermarkt.fr/marcos-leonardo/profil/spieler/668267,Avant-centre,49,21,4132
